https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLY,Volume BTC,tradecount
1647907200000,2022-03-22,POLYBTC,9.91e-06,9.91e-06,9.57e-06,9.71e-06,462613.0,4.48199704,1710
1647820800000,2022-03-21,POLYBTC,9.94e-06,9.94e-06,9.69e-06,9.9e-06,456993.0,4.49016826,1396
1647734400000,2022-03-20,POLYBTC,9.66e-06,1.05e-05,9.66e-06,9.94e-06,2827820.0,28.53310983,10254
1647648000000,2022-03-19,POLYBTC,9.57e-06,9.73e-06,9.46e-06,9.65e-06,520983.0,4.99998142,1490
1647561600000,2022-03-18,POLYBTC,9.68e-06,9.69e-06,9.41e-06,9.57e-06,648963.0,6.19427472,1918
1647475200000,2022-03-17,POLYBTC,9.45e-06,9.79e-06,9.41e-06,9.69e-06,1182346.0,11.40541701,3031
1647388800000,2022-03-16,POLYBTC,9.59e-06,9.72e-06,9.23e-06,9.44e-06,1404087.0,13.27794341,3192
1647302400000,2022-03-15,POLYBTC,9.55e-06,1.015e-05,9.5e-06,9.59e-06,2164665.0,21.20300532,5588
1647216000000,2022-03-14,POLYBTC,9.77e-06,1.003e-05,9.5e-06,9.55e-06,848881.0,8.2300699,2514
1647129600000,2022-03-13,POLYBTC,9.93e-06,9.93e-06,9.72e-06,9.76e-06,326072.0,3.19753751,1291
1647043200000,2022-03-12,POLYBTC,1.003e-05,1.004e-05,9.82e-06,9.94e-06,303044.0,3.00061884,1171
1646956800000,2022-03-11,POLYBTC,1.004e-05,1.035e-05,9.84e-06,1.004e-05,1060917.0,10.65510511,3642
1646870400000,2022-03-10,POLYBTC,9.88e-06,1.009e-05,9.77e-06,1.005e-05,955755.0,9.48247134,2702
1646784000000,2022-03-09,POLYBTC,1.029e-05,1.05e-05,9.5e-06,9.88e-06,2817982.0,27.78752004,6380
1646697600000,2022-03-08,POLYBTC,1.026e-05,1.06e-05,1.004e-05,1.029e-05,1646361.0,16.8881895,5730
1646611200000,2022-03-07,POLYBTC,1.041e-05,1.042e-05,1.002e-05,1.026e-05,1250731.0,12.73401534,4040
